sku,store_view_code,attribute_set_code,product_type,categories,product_websites,name,description,short_description,weight,product_online,tax_class_name,visibility,price,special_price,special_price_from_date,special_price_to_date,url_key,meta_title,meta_keywords,meta_description,base_image,base_image_label,small_image,small_image_label,thumbnail_image,thumbnail_image_label,swatch_image,swatch_image_label,created_at,updated_at,new_from_date,new_to_date,display_product_options_in,map_price,msrp_price,map_enabled,gift_message_available,custom_design,custom_design_from,custom_design_to,custom_layout_update,page_layout,product_options_container,msrp_display_actual_price_type,country_of_manufacture,additional_attributes,qty,out_of_stock_qty,use_config_min_qty,is_qty_decimal,allow_backorders,use_config_backorders,min_cart_qty,use_config_min_sale_qty,max_cart_qty,use_config_max_sale_qty,is_in_stock,notify_on_stock_below,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,website_id,related_skus,related_position,crosssell_skus,crosssell_position,upsell_skus,upsell_position,additional_images,additional_image_labels,hide_from_product_page,custom_options,bundle_price_type,bundle_sku_type,bundle_price_view,bundle_weight_type,bundle_values,bundle_shipment_type,associated_skus,downloadable_links,downloadable_samples,configurable_variations,configurable_variation_labels,errors
"Adrano Table Lamp in Gold with Black Shade",,Default,simple,"Products list/Products/Lamps",base,"Adrano Table Lamp in Gold with Black Shade",,,10,1,"Taxable Goods","Catalog, Search",1200000,,,,adrano-table-lamp-in-gold-with-black-shade,"Adrano Table Lamp in Gold with Black Shade","Adrano Table Lamp in Gold with Black Shade","Adrano Table Lamp in Gold with Black Shade",,,,,,,,,,,,,"Block after Info Column",,,,"Use config",,,,,,,"Use config",,,10,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,
"Balor Table Lamp",,Default,simple,"Products list/Products/Lamps",base,"Balor Table Lamp",,,14,1,"Taxable Goods","Catalog, Search",1400000,,,,balor-table-lamp,"Balor Table Lamp","Balor Table Lamp","Balor Table Lamp",,,,,,,,,,,,,"Block after Info Column",,,,"Use config",,,,,,,"Use config",,,10,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,
"Lola Teardrop Table Lamp",,Default,simple,"Products list/Products/Lamps",base,"Lola Teardrop Table Lamp",,,13,1,"Taxable Goods","Catalog, Search",1500000,,,,lola-teardrop-table-lamp,"Lola Teardrop Table Lamp","Lola Teardrop Table Lamp","Lola Teardrop Table Lamp",,,,,,,,,,,,,"Block after Info Column",,,,"Use config",,,,,,,"Use config",,,10,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,
"Ombra Table Lamp",,Default,simple,"Products list/Products/Lamps",base,"Ombra Table Lamp",,,16,1,"Taxable Goods","Catalog, Search",1200000,,,,ombra-table-lamp,"Ombra Table Lamp","Ombra Table Lamp","Ombra Table Lamp",,,,,,,,,,,,,"Block after Info Column",,,,"Use config",,,,,,,"Use config",,,10,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,
"Thornton Table Lamp",,Default,simple,"Products list/Products/Lamps",base,"Thornton Table Lamp",,,14,1,"Taxable Goods","Catalog, Search",1345678,,,,thornton-table-lamp,"Thornton Table Lamp","Thornton Table Lamp","Thornton Table Lamp",,,,,,,,,,,,,"Block after Info Column",,,,"Use config",,,,,,,"Use config",,,10,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,
"Maeve Taupe Table Lamp",,Default,simple,"Products list/Products/Lamps",base,"Maeve Taupe Table Lamp",,,16,1,"Taxable Goods","Catalog, Search",1234567,,,,maeve-taupe-table-lamp,"Maeve Taupe Table Lamp","Maeve Taupe Table Lamp","Maeve Taupe Table Lamp",,,,,,,,,,,,,"Block after Info Column",,,,"Use config",,,,,,,"Use config",,,10,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,
"Clarence Bronze Floor Lamp",,Default,simple,"Products list/Products/Lamps",base,"Clarence Bronze Floor Lamp",,,12,1,"Taxable Goods","Catalog, Search",1876543,,,,clarence-bronze-floor-lamp,"Clarence Bronze Floor Lamp","Clarence Bronze Floor Lamp","Clarence Bronze Floor Lamp",,,,,,,,,,,,,"Block after Info Column",,,,"Use config",,,,,,,"Use config",,,10,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,
"Avery Column Table Lamp",,Default,simple,"Products list/Products/Lamps",base,"Avery Column Table Lamp",,,20,1,"Taxable Goods","Catalog, Search",1489654,,,,avery-column-table-lamp,"Avery Column Table Lamp","Avery Column Table Lamp","Avery Column Table Lamp",,,,,,,,,,,,,"Block after Info Column",,,,"Use config",,,,,,,"Use config",,,10,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,
"Brixton Table Lamp",,Default,simple,"Products list/Products/Lamps",base,"Brixton Table Lamp",,,21,1,"Taxable Goods","Catalog, Search",1765432,,,,brixton-table-lamp,"Brixton Table Lamp","Brixton Table Lamp","Brixton Table Lamp",,,,,,,,,,,,,"Block after Info Column",,,,"Use config",,,,,,,"Use config",,,10,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,
"Lyla Floor Lamp",,Default,simple,"Products list/Products/Lamps",base,"Lyla Floor Lamp",,,23,1,"Taxable Goods","Catalog, Search",1678432,,,,lyla-floor-lamp,"Lyla Floor Lamp","Lyla Floor Lamp","Lyla Floor Lamp",,,,,,,,,,,,,"Block after Info Column",,,,"Use config",,,,,,,"Use config",,,10,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,
